%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 1600 Hz
%Board = OpenBCI_GUI$BoardGanglionWifi
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
53.0, 63.841958270212885, -33.00648503053594, 65.8989031194333, -16.075958971589003, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315343E9, 0.0, 2021-09-30 13:31:07.631
54.0, 66.29346254051103, -34.11910519897789, 53.127145555637455, -13.774050690325067, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315377E9, 0.0, 2021-09-30 13:31:07.631
55.0, 65.87085387148939, -33.35990555462927, 48.55324819091642, -10.475459132120692, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315413E9, 0.0, 2021-09-30 13:31:07.631
56.0, 68.80480520642287, -36.716465558584396, 45.69035495077419, -6.032458257804597, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315444E9, 0.0, 2021-09-30 13:31:07.631
57.0, 70.34003404388646, -39.85985127816578, 39.416673160651925, 1.5464485366411662, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315482E9, 0.0, 2021-09-30 13:31:07.631
58.0, 68.91887214806145, -39.14366048066449, 37.372817960472005, 3.431357998472237, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315515E9, 0.0, 2021-09-30 13:31:07.631
59.0, 69.31156161927626, -39.97017832007851, 43.405276218276605, -1.8718198127905772, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315553E9, 0.0, 2021-09-30 13:31:07.631
60.0, 66.43183883036768, -39.22593827463331, 49.26569908869185, -5.579930390976107, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315584E9, 0.0, 2021-09-30 13:31:07.631
61.0, 63.062189177372055, -34.15276429651059, 52.96445991756275, -6.866455896670329, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315618E9, 0.0, 2021-09-30 13:31:07.631
62.0, 60.82198924158473, -29.760252068493543, 55.66840741935613, -7.462969902944249, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631565E9, 0.0, 2021-09-30 13:31:07.631
63.0, 61.54191993881187, -26.23726652673785, 55.87971175386695, -5.978229711779695, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315687E9, 0.0, 2021-09-30 13:31:07.631
64.0, 61.080042322668746, -21.36978703353718, 56.23687217768613, -2.8479336412388103, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.632983467631572E9, 0.0, 2021-09-30 13:31:07.631
65.0, 68.19520155110845, -18.166562918342116, 58.43032336690027, -1.7895420188217606, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315756E9, 0.0, 2021-09-30 13:31:07.631
66.0, 73.47407001415321, -19.421299276366568, 55.78247436099471, -0.43756826792507, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315787E9, 0.0, 2021-09-30 13:31:07.631
67.0, 72.95235400239639, -21.685808560371953, 54.46602965749365, -0.04674874657319124, 0.01, 0.123, 1.031, 192.0, 0.0, 123.0, 0.0, 10.0, 251.0, 249.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6329834676315825E9, 0.0, 2021-09-30 13:31:07.631
